time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1609043645.46287107,0.02129668,0.01535141,-nan,988.00000000,0.02129668,0.000000,0.000000
1609043645.55833387,0.01222638,0.00241984,-nan,1859.00000000,0.00315609,0.000000,0.000000
1609043645.66922140,0.01142024,0.00715170,-nan,2214.00000000,0.00980795,0.000000,0.000000
1609043645.76268792,0.00905077,0.00139230,-nan,2342.00000000,0.00194237,0.000000,0.000000
1609043645.85790658,0.00794192,0.00250929,-nan,2336.00000000,0.00350651,0.000000,0.000000
1609043645.96887136,0.00847391,0.00264661,0.00000473,2421.00000000,0.01113387,0.000000,0.000000
1609043646.06244802,0.00798675,0.00121481,0.00000211,2573.00000000,0.00506378,0.000000,0.000000
1609043646.15772080,0.00813909,0.00238055,0.00000379,2591.00000000,0.00920549,0.000000,0.000000
1609043646.26886177,0.00963706,0.00459373,0.00000955,2207.00000000,0.02162084,0.000000,0.000000
1609043646.36252308,0.00921809,0.00117726,0.00000237,2376.00000000,0.00544734,0.000000,0.000000
1609043646.45771050,0.01032486,0.00478403,0.00001004,2507.00000000,0.02139251,0.000000,0.000000
1609043646.56879759,0.01006497,0.00154408,0.00000315,2584.00000000,0.00720621,0.000000,0.000000
1609043646.66251874,0.01060469,0.00375933,0.00000746,2645.00000000,0.01708138,0.000000,0.000000
1609043646.75774407,0.01035788,0.00146535,0.00000325,2656.00000000,0.00714934,0.000000,0.000000
1609043646.86874032,0.01076485,0.00391108,0.00000719,2704.00000000,0.01646242,0.000000,0.000000
1609043646.96252108,0.01037045,0.00092658,0.00000215,2718.00000000,0.00445450,0.000000,0.000000
1609043647.05795574,0.01097301,0.00474040,0.00000907,2776.00000000,0.02061392,0.000000,0.000000
1609043647.16893792,0.01080580,0.00157162,0.00000366,2770.00000000,0.00796327,0.000000,0.000000
1609043647.26268148,0.01102738,0.00293812,0.00000681,2774.00000000,0.01501580,0.000000,0.000000
1609043647.35819769,0.01076197,0.00124991,0.00000273,2768.00000000,0.00571916,0.000000,0.000000
1609043647.46888542,0.01131650,0.00452013,0.00001009,2757.00000000,0.02240711,0.000000,0.000000
1609043647.56264377,0.01102950,0.00096855,0.00000223,2791.00000000,0.00500240,0.000000,0.000000
1609043647.65783548,0.01132580,0.00393372,0.00000785,2830.00000000,0.01784455,0.000000,0.000000
1609043647.76920342,0.01117915,0.00173643,0.00000342,2860.00000000,0.00780611,0.000000,0.000000
1609043647.86254120,0.01143469,0.00352726,0.00000808,2848.00000000,0.01756770,0.000000,0.000000
1609043647.95778489,0.01126406,0.00142311,0.00000308,2890.00000000,0.00699834,0.000000,0.000000
1609043648.06868744,0.01111257,0.00153206,0.00000339,2898.00000000,0.00717365,0.000000,0.000000
1609043648.16249418,0.01153070,0.00487214,0.00001009,2862.00000000,0.02282022,0.000000,0.000000
1609043648.25794697,0.01132838,0.00105863,0.00000260,2803.00000000,0.00566364,0.000000,0.000000
1609043648.36903715,0.01122777,0.00169165,0.00000403,2808.00000000,0.00830987,0.000000,0.000000
1609043648.46250510,0.01130308,0.00266569,0.00000629,2843.00000000,0.01356256,0.000000,0.000000
1609043648.55777001,0.01115608,0.00131015,0.00000294,2837.00000000,0.00659891,0.000000,0.000000
1609043648.66873622,0.01155915,0.00430340,0.00001048,2871.00000000,0.02445737,0.000000,0.000000
1609043648.76248741,0.01135047,0.00081083,0.00000203,2859.00000000,0.00446402,0.000000,0.000000
1609043648.85747600,0.01148322,0.00338726,0.00000725,2892.00000000,0.01599698,0.000000,0.000000
1609043648.96859479,0.01136155,0.00135890,0.00000326,2925.00000000,0.00710306,0.000000,0.000000
1609043649.06235576,0.01145056,0.00316912,0.00000665,2920.00000000,0.01465495,0.000000,0.000000
1609043649.15779829,0.01130719,0.00121132,0.00000289,2924.00000000,0.00600249,0.000000,0.000000
1609043649.26859498,0.01155877,0.00452170,0.00000928,2928.00000000,0.02111857,0.000000,0.000000
1609043649.36231041,0.01140017,0.00101212,0.00000252,2903.00000000,0.00521483,0.000000,0.000000
1609043649.45779538,0.01163387,0.00400908,0.00001011,2902.00000000,0.02098206,0.000000,0.000000
1609043649.56829166,0.01149789,0.00108141,0.00000266,2892.00000000,0.00592253,0.000000,0.000000
1609043649.66214156,0.01155554,0.00310119,0.00000676,2903.00000000,0.01397688,0.000000,0.000000
1609043649.75741529,0.01152431,0.00186068,0.00000468,2874.00000000,0.01018125,0.000000,0.000000
